contact_id,brief_id,level,lsm,overlap,chars
4,10,6c,0.4677,0.0,247
4,26,6d,0.4397,0.1,267
4,1,6,0.3701,0.0,248
4,26,6,0.6454,0.1,193
4,10,6,0.5141,0.0,252
22,1,0,0.6575,0.0,330
22,26,0,0.4011,0.0,105
22,10,0,0.4999,0.0,341
22,1,1,0.6453,0.0,344
22,26,1,0.4136,0.0,118
22,10,1,0.5034,0.0,354
22,1,2,0.6453,0.0,342
22,26,2,0.4136,0.0,120
22,10,2,0.5034,0.0,352
22,1,3a,0.6189,0.0,344
22,26,3b,0.4136,0.0,120
22,26,3c,0.4136,0.0,119
22,1,3d,0.6453,0.0,342
22,1,3,0.6394,0.05,354
22,26,3,0.4136,0.0,115
22,10,3,0.4965,0.0,255
22,26,4,0.4136,0.0,120
22,1,5,0.6203,0.05,245
22,26,5,0.5234,0.0,158
22,10,5,0.4734,0.0,252
22,26,6a,0.5615,0.15,247
22,26,6b,0.4136,0.0,117
22,10,6c,0.4529,0.0,259
22,26,6d,0.4209,0.15,353
22,1,6,0.4548,0.15,308
22,26,6,0.5257,0.15,161
22,10,6,0.4787,0.1,359
25,1,0,0.6234,0.0,330
25,26,0,0.4219,0.0,105
25,10,0,0.5232,0.05,341
25,1,1,0.612,0.0,343
25,26,1,0.4296,0.0,117
25,10,1,0.5271,0.05,353
25,1,2,0.612,0.0,341
25,26,2,0.4296,0.0,119
25,10,2,0.5271,0.05,351
25,1,3a,0.612,0.0,341
25,26,3b,0.4296,0.0,119
25,26,3c,0.4296,0.0,119
25,1,3d,0.612,0.0,341
25,1,3,0.612,0.0,341
25,26,3,0.4296,0.0,114
25,10,3,0.5005,0.1,351
25,26,4,0.5271,0.05,146
25,1,5,0.5157,0.05,257
25,26,5,0.4296,0.0,114
25,10,5,0.5041,0.1,359
25,26,6a,0.4296,0.0,114
25,26,6b,0.4279,0.0,127
25,10,6c,0.4643,0.1,274
25,26,6d,0.5446,0.05,357
25,1,6,0.5338,0.1,277
