file,strings,chars,C0,C1,CJK,CR,CYR,DBLSP,EMOJI,EMPTY,ESCSEQ,FFFD,GREEK,HTMLENT,LONGTOK,LSEP,MOJI,NBSP,NON_NFC,PUA,PUNCTRUN,SYMBOL,TAB,URL,WS_EDGE,X000D,ZW
ucs/uc01_personalization/snapshots/run_cohort.json,30698,5447646,0,0,0,0,2,93,52,1,0,0,0,246,36,0,0,0,0,0,131,12,0,13,198,0,0
ucs/uc01_personalization/snapshots/uc01-cohort-67-reviewerIDs.json,73,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc01_personalization/snapshots/uc01-error-results.json,46,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc01_personalization/snapshots/uc01-judge-testset.json,1800,31686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc01_personalization/snapshots/uc01-raw-generated-messages.json,148,1699132,0,0,0,0,0,0,37,0,1,0,1,2,187,0,0,0,0,0,279,17,0,0,0,0,0
ucs/uc01_personalization/snapshots/uc01-results.csv,4,135,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0
ucs/uc01_personalization/snapshots/uc01-summary.json,10,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/README.md,246,12818,0,0,0,0,0,95,0,54,0,0,0,0,14,0,0,0,0,0,11,22,0,0,38,0,0
ucs/uc02_pseudonymization/_external/nametag3-code/CHANGES.md,51,805,0,0,0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
ucs/uc02_pseudonymization/_external/nametag3-code/README.md,377,13241,0,0,0,0,0,40,0,117,0,0,0,0,14,0,0,0,0,0,0,0,5,31,37,0,0
ucs/uc02_pseudonymization/_external/nametag3-code/examples/cs_input.txt,2,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/_external/nametag3-code/examples/en_input.txt,2,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/_external/nametag3-code/requirements.txt,11,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/_external/nametag3-code/tutorial/README.md,31,2092,0,0,0,0,0,16,0,4,0,0,0,0,18,0,0,0,0,0,0,0,0,18,16,0,0
ucs/uc02_pseudonymization/_external/nametag3/nametag3-czech-cnec2.0-240830/README.md,50,1998,0,0,0,0,0,19,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,7,15,0,0
ucs/uc02_pseudonymization/_external/nametag3/nametag3-czech-cnec2.0-240830/options.json,47,932,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/eval/fusion_refresh/README.md,81,5245,0,0,0,0,0,18,0,26,0,0,0,0,8,0,0,0,0,0,2,2,0,0,1,0,0
ucs/uc02_pseudonymization/eval/fusion_refresh/nametag3_predictions.jsonl,1175,10395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/eval/fusion_refresh/overall.csv,13,620,0,0,0,12,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0
ucs/uc02_pseudonymization/eval/fusion_refresh/per_type.csv,123,4466,0,0,0,122,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,122,0,0
ucs/uc02_pseudonymization/eval/fusion_refresh/summary.json,905,4193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/eval/fusion_refresh/venv-ml-snapshot.txt,306,5634,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ucs/uc02_pseudonymization/eval/fusion_refresh/venv-nametag3-snapshot.txt,83,1504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/eval/uc02-summary-fused.json,73,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ucs/uc02_pseudonymization/eval/uc02-summary.json,73,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
