run,regime,protocol,arm,title,branch,customers,hits_top5,hits_top10,hr_top10,ci95_low,ci95_high,ndcg10,mrr10,hidden_in_top30,hidden_in_top200,seconds
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,svd_mf,SVD matrix factorisation,en,425,89,125,0.2941,0.2528,0.3391,0.1836,0.15,,,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,full,svm_features,Linear SVM on engineered features,cs,425,0,1,0.0024,0.0004,0.0132,0.0007,0.0003,3,12,3.4
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,svm_features,Linear SVM on engineered features,cs,425,37,65,0.1529,0.1218,0.1903,0.076,0.053,,,3.4
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,full,svm_features,Linear SVM on engineered features,en,425,0,1,0.0024,0.0004,0.0132,0.0007,0.0003,3,12,3.3
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,crm,sampled,svm_features,Linear SVM on engineered features,en,425,37,65,0.1529,0.1218,0.1903,0.076,0.053,,,3.3
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,full,als_cf,ALS collaborative filtering,cs,425,3,3,0.0071,0.0024,0.0205,0.0036,0.0024,7,50,5.6
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,sampled,als_cf,ALS collaborative filtering,cs,425,120,182,0.4282,0.382,0.4757,0.2309,0.1709,,,5.6
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,full,als_cf,ALS collaborative filtering,en,425,3,3,0.0071,0.0024,0.0205,0.0036,0.0024,7,50,5.6
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,sampled,als_cf,ALS collaborative filtering,en,425,120,182,0.4282,0.382,0.4757,0.2309,0.1709,,,5.6
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,full,popularity,Most-bought products,cs,425,1,1,0.0024,0.0004,0.0132,0.0024,0.0024,2,18,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,sampled,popularity,Most-bought products,cs,425,36,50,0.1176,0.0904,0.1518,0.0718,0.0577,,,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,full,popularity,Most-bought products,en,425,1,1,0.0024,0.0004,0.0132,0.0024,0.0024,2,18,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,sampled,popularity,Most-bought products,en,425,36,50,0.1176,0.0904,0.1518,0.0718,0.0577,,,0.0
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,full,svd_mf,SVD matrix factorisation,cs,425,0,1,0.0024,0.0004,0.0132,0.0008,0.0004,5,42,1.1
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,sampled,svd_mf,SVD matrix factorisation,cs,425,111,157,0.3694,0.3249,0.4163,0.2083,0.1589,,,1.1
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,full,svd_mf,SVD matrix factorisation,en,425,0,1,0.0024,0.0004,0.0132,0.0008,0.0004,5,42,1.1
2026-09-07-arena-crm-population-12-arms-en-cs-425-customers,population,sampled,svd_mf,SVD matrix factorisation,en,425,111,157,0.3694,0.3249,0.4163,0.2083,0.1589,,,1.1
